"cluster","GO_ID","overlap","query_size","term_size","background_size","p_value","p_adj","GO_term","minus_log10_p"
"C6","GO:0090503",1,768,13,13936,0.521568257504071,0.605636825325451,"GO:0090503",0.282688847510624
"C6","GO:0098542",1,768,13,13936,0.521568257504071,0.605636825325451,"GO:0098542",0.282688847510624
"C6","GO:0098656",1,768,13,13936,0.521568257504071,0.605636825325451,"GO:0098656",0.282688847510624
"C6","GO:1903830",1,768,13,13936,0.521568257504071,0.605636825325451,"GO:1903830",0.282688847510624
"C6","GO:0098655",2,768,32,13936,0.533011979479165,0.616895831987361,"GO:0098655",0.2732630300668
"C6","GO:0000162",1,768,14,13936,0.547958803955042,0.63006338044342,"GO:0000162",0.261252090945418
"C6","GO:0009742",1,768,14,13936,0.547958803955042,0.63006338044342,"GO:0009742",0.261252090945418
"C6","GO:0042545",1,768,15,13936,0.572895425026909,0.654472767101938,"GO:0042545",0.241924645883573
"C6","GO:0061157",1,768,15,13936,0.572895425026909,0.654472767101938,"GO:0061157",0.241924645883573
"C6","GO:0006749",3,768,54,13936,0.578058625279719,0.658240950721745,"GO:0006749",0.238028114270888
"C6","GO:0055085",12,768,224,13936,0.582605597964805,0.661285453638508,"GO:0055085",0.234625346770582
"C6","GO:0008299",1,768,16,13936,0.596458122647721,0.672682802858293,"GO:0008299",0.224420042758861
"C6","GO:0030001",1,768,16,13936,0.596458122647721,0.672682802858293,"GO:0030001",0.224420042758861
"C6","GO:0016310",13,768,246,13936,0.602666807541456,0.677520328223357,"GO:0016310",0.219922727062945
"C6","GO:0000724",1,768,18,13936,0.639760013288115,0.714668622438939,"GO:0000724",0.193982907970293
